"ID_UNIDADE_ORC";"SQA_UNIDADE_ORCAM";"ANO_EXERCICIO";"CD_UNIDADE_ORC";"ID_GRUPO_ADMINISTRACAO";"GRUPO_ADMINISTRACAO";"ID_ADMINISTRACAO";"ADMINISTRACAO";"NOME"
7435;2095;2016;2261;2;"AUTARQUIAS E FUNDACOES";3;"FUNDACOES";"FUNDACAO EZEQUIEL DIAS"
7440;2100;2016;2311;2;"AUTARQUIAS E FUNDACOES";2;"AUTARQUIAS";"UNIVERSIDADE ESTADUAL DE MONTES CLAROS"
7525;2144;2016;1691;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE SEGURANCA PUBLICA"
7598;2105;2016;2371;2;"AUTARQUIAS E FUNDACOES";2;"AUTARQUIAS";"INSTITUTO MINEIRO DE AGROPECUARIA"
7608;2115;2016;3051;5;"EMPRESAS DEPENDENTES";5;"EMPRESA EST. DEPENDENTES";"EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS"
7344;2006;2016;1021;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS"
7345;2007;2016;1031;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS"
7347;2009;2016;1051;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"TRIBUNAL DE JUSTICA MILITAR DO ESTADO DE MINAS GERAIS"
7351;2013;2016;4441;4;"FUNDOS";4;"FUNDOS";"FUNDO ESPECIAL DO MINISTERIO PUBLICO DO ESTADO DE MINAS GERAIS"
7352;2014;2016;4451;4;"FUNDOS";4;"FUNDOS";"FUNDO ESTADUAL DE PROTECAO E DEFESA DO CONSUMIDOR"
7397;2057;2016;1541;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"ESCOLA DE SAUDE PUBLICA DO ESTADO DE MINAS GERAIS"
7426;2086;2016;2141;2;"AUTARQUIAS E FUNDACOES";2;"AUTARQUIAS";"DEPARTAMENTO DE OBRAS PUBLICAS DO ESTADO DE MINAS GERAIS"
7429;2089;2016;2171;2;"AUTARQUIAS E FUNDACOES";3;"FUNDACOES";"FUNDACAO DE ARTE DE OURO PRETO"
7432;2092;2016;2211;2;"AUTARQUIAS E FUNDACOES";3;"FUNDACOES";"FUNDACAO TV MINAS CULTURAL E EDUCATIVA"
7433;2093;2016;2241;2;"AUTARQUIAS E FUNDACOES";2;"AUTARQUIAS";"INSTITUTO MINEIRO DE GESTAO DAS AGUAS"
